duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C94271,C94271,SV1_C94247,C94247,full46
SV1_C94368,C94368,SV1_C94344,C94344,full46
SV1_C94369,C94369,SV1_C94345,C94345,full46
SV1_C94370,C94370,SV1_C94346,C94346,full46
SV1_C94371,C94371,SV1_C94347,C94347,full46
SV1_C94372,C94372,SV1_C94348,C94348,full46
SV1_C94373,C94373,SV1_C94349,C94349,full46
SV1_C94374,C94374,SV1_C94350,C94350,full46
SV1_C94375,C94375,SV1_C94351,C94351,full46
SV1_C94376,C94376,SV1_C94352,C94352,full46
SV1_C94377,C94377,SV1_C94353,C94353,full46
SV1_C94378,C94378,SV1_C94354,C94354,full46
SV1_C94379,C94379,SV1_C94355,C94355,full46
SV1_C94380,C94380,SV1_C94356,C94356,full46
SV1_C94381,C94381,SV1_C94357,C94357,full46
SV1_C94382,C94382,SV1_C94358,C94358,full46
SV1_C94383,C94383,SV1_C94359,C94359,full46
SV1_C94384,C94384,SV1_C94360,C94360,full46
SV1_C94385,C94385,SV1_C94361,C94361,full46
SV1_C94386,C94386,SV1_C94362,C94362,full46
SV1_C94387,C94387,SV1_C94363,C94363,full46
