scenario_name,scenario_base,traffic_profile_id,sim_end_time_s,traffic_gen_start_s,traffic_gen_end_s,traffic_gen_fraction,traffic_gen_note,Group.msgTtl_minutes,msg_ttl_seconds,Report.warmup_s
C3_Hackathon_24h__TP09_Bimodal,C3_Hackathon_24h,TP09,86400,0.0,86400.0,1.0,full_simulation,7200,432000,0
C3_Hackathon_24h__TP10_Storm,C3_Hackathon_24h,TP10,86400,0.0,86400.0,1.0,full_simulation,60,3600,0
C3_Hackathon_24h__TP11_ManyToOne,C3_Hackathon_24h,TP11,86400,0.0,86400.0,1.0,full_simulation,7200,432000,0
C3_Hackathon_24h__TP12_GroupToGroup,C3_Hackathon_24h,TP12,86400,0.0,86400.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP01_Baseline,C4_Stadium_IngressEgress,TP01,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP02_LowLoad,C4_Stadium_IngressEgress,TP02,10800,0.0,10800.0,1.0,full_simulation,21600,1296000,0
C4_Stadium_IngressEgress__TP03_ManySmall,C4_Stadium_IngressEgress,TP03,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP04_FewLarge,C4_Stadium_IngressEgress,TP04,10800,0.0,10800.0,1.0,full_simulation,14400,864000,0
C4_Stadium_IngressEgress__TP05_CriticalTTL,C4_Stadium_IngressEgress,TP05,10800,0.0,10800.0,1.0,full_simulation,5,300,0
C4_Stadium_IngressEgress__TP06_OneToMany,C4_Stadium_IngressEgress,TP06,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP07_BurstWindow,C4_Stadium_IngressEgress,TP07,10800,2160,3024,0.08,burst_only,7200,432000,0
C4_Stadium_IngressEgress__TP08_HubTarget,C4_Stadium_IngressEgress,TP08,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP09_Bimodal,C4_Stadium_IngressEgress,TP09,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP10_Storm,C4_Stadium_IngressEgress,TP10,10800,0.0,10800.0,1.0,full_simulation,60,3600,0
C4_Stadium_IngressEgress__TP11_ManyToOne,C4_Stadium_IngressEgress,TP11,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C4_Stadium_IngressEgress__TP12_GroupToGroup,C4_Stadium_IngressEgress,TP12,10800,0.0,10800.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP01_Baseline,C5_Library_Quiet,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP02_LowLoad,C5_Library_Quiet,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
C5_Library_Quiet__TP03_ManySmall,C5_Library_Quiet,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP04_FewLarge,C5_Library_Quiet,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
C5_Library_Quiet__TP05_CriticalTTL,C5_Library_Quiet,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
C5_Library_Quiet__TP06_OneToMany,C5_Library_Quiet,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP07_BurstWindow,C5_Library_Quiet,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
C5_Library_Quiet__TP08_HubTarget,C5_Library_Quiet,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP09_Bimodal,C5_Library_Quiet,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP10_Storm,C5_Library_Quiet,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
C5_Library_Quiet__TP11_ManyToOne,C5_Library_Quiet,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C5_Library_Quiet__TP12_GroupToGroup,C5_Library_Quiet,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C6_EmergencyDrill_Evacuation__TP01_Baseline,C6_EmergencyDrill_Evacuation,TP01,7200,0.0,7200.0,1.0,full_simulation,7200,432000,0
