scenario,cluster
D1_ShelterHotspots_Clusters__TP04_FewLarge,1
D1_ShelterHotspots_Clusters__TP05_CriticalTTL,1
D1_ShelterHotspots_Clusters__TP06_OneToMany,1
D1_ShelterHotspots_Clusters__TP07_BurstWindow,1
D1_ShelterHotspots_Clusters__TP08_HubTarget,1
D1_ShelterHotspots_Clusters__TP09_Bimodal,1
D1_ShelterHotspots_Clusters__TP10_Storm,1
D1_ShelterHotspots_Clusters__TP11_ManyToOne,1
D1_ShelterHotspots_Clusters__TP12_GroupToGroup,1
D2_PartitionedCity_MuleBridge__TP01_Baseline,1
D2_PartitionedCity_MuleBridge__TP02_LowLoad,1
D2_PartitionedCity_MuleBridge__TP03_ManySmall,1
D2_PartitionedCity_MuleBridge__TP04_FewLarge,1
D2_PartitionedCity_MuleBridge__TP05_CriticalTTL,1
D2_PartitionedCity_MuleBridge__TP06_OneToMany,1
D2_PartitionedCity_MuleBridge__TP07_BurstWindow,1
D2_PartitionedCity_MuleBridge__TP08_HubTarget,1
D2_PartitionedCity_MuleBridge__TP09_Bimodal,1
D2_PartitionedCity_MuleBridge__TP10_Storm,1
D2_PartitionedCity_MuleBridge__TP11_ManyToOne,1
D2_PartitionedCity_MuleBridge__TP12_GroupToGroup,1
D3_Aftershock_ErraticMobility__TP01_Baseline,5
D3_Aftershock_ErraticMobility__TP02_LowLoad,4
D3_Aftershock_ErraticMobility__TP03_ManySmall,5
D3_Aftershock_ErraticMobility__TP04_FewLarge,4
D3_Aftershock_ErraticMobility__TP05_CriticalTTL,5
D3_Aftershock_ErraticMobility__TP06_OneToMany,5
D3_Aftershock_ErraticMobility__TP07_BurstWindow,5
D3_Aftershock_ErraticMobility__TP08_HubTarget,5
D3_Aftershock_ErraticMobility__TP09_Bimodal,5
D3_Aftershock_ErraticMobility__TP10_Storm,5
D3_Aftershock_ErraticMobility__TP11_ManyToOne,5
D3_Aftershock_ErraticMobility__TP12_GroupToGroup,5
D4_MedicalTriage_TwoClasses__TP01_Baseline,5
D4_MedicalTriage_TwoClasses__TP02_LowLoad,4
D4_MedicalTriage_TwoClasses__TP03_ManySmall,5
D4_MedicalTriage_TwoClasses__TP04_FewLarge,4
D4_MedicalTriage_TwoClasses__TP05_CriticalTTL,5
D4_MedicalTriage_TwoClasses__TP06_OneToMany,5
D4_MedicalTriage_TwoClasses__TP07_BurstWindow,5
D4_MedicalTriage_TwoClasses__TP08_HubTarget,5
D4_MedicalTriage_TwoClasses__TP09_Bimodal,5
D4_MedicalTriage_TwoClasses__TP10_Storm,5
D4_MedicalTriage_TwoClasses__TP11_ManyToOne,5
D4_MedicalTriage_TwoClasses__TP12_GroupToGroup,5
D5_UAVMule_FastRoute_HelsinkiMedium__TP01_Baseline,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP02_LowLoad,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP03_ManySmall,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP04_FewLarge,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP05_CriticalTTL,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP06_OneToMany,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP07_BurstWindow,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP08_HubTarget,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP09_Bimodal,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP10_Storm,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP11_ManyToOne,2
D5_UAVMule_FastRoute_HelsinkiMedium__TP12_GroupToGroup,2
D6_ShortTtlCritical_5to10min__TP01_Baseline,5
D6_ShortTtlCritical_5to10min__TP02_LowLoad,4
D6_ShortTtlCritical_5to10min__TP03_ManySmall,5
D6_ShortTtlCritical_5to10min__TP04_FewLarge,4
D6_ShortTtlCritical_5to10min__TP05_CriticalTTL,5
D6_ShortTtlCritical_5to10min__TP06_OneToMany,5
D6_ShortTtlCritical_5to10min__TP07_BurstWindow,5
D6_ShortTtlCritical_5to10min__TP08_HubTarget,5
D6_ShortTtlCritical_5to10min__TP09_Bimodal,5
D6_ShortTtlCritical_5to10min__TP10_Storm,5
D6_ShortTtlCritical_5to10min__TP11_ManyToOne,5
D6_ShortTtlCritical_5to10min__TP12_GroupToGroup,5
D7_HighLoad_TrafficStorm__TP01_Baseline,5
D7_HighLoad_TrafficStorm__TP02_LowLoad,4
D7_HighLoad_TrafficStorm__TP03_ManySmall,5
D7_HighLoad_TrafficStorm__TP04_FewLarge,4
D7_HighLoad_TrafficStorm__TP05_CriticalTTL,5
D7_HighLoad_TrafficStorm__TP06_OneToMany,5
D7_HighLoad_TrafficStorm__TP07_BurstWindow,5
D7_HighLoad_TrafficStorm__TP08_HubTarget,5
D7_HighLoad_TrafficStorm__TP09_Bimodal,5
D7_HighLoad_TrafficStorm__TP10_Storm,5
D7_HighLoad_TrafficStorm__TP11_ManyToOne,5
D7_HighLoad_TrafficStorm__TP12_GroupToGroup,5
D8_InfrastructureReturns_BackboneLinks__TP01_Baseline,1
D8_InfrastructureReturns_BackboneLinks__TP02_LowLoad,1
D8_InfrastructureReturns_BackboneLinks__TP03_ManySmall,1
D8_InfrastructureReturns_BackboneLinks__TP04_FewLarge,1
D8_InfrastructureReturns_BackboneLinks__TP05_CriticalTTL,1
D8_InfrastructureReturns_BackboneLinks__TP06_OneToMany,1
D8_InfrastructureReturns_BackboneLinks__TP07_BurstWindow,1
D8_InfrastructureReturns_BackboneLinks__TP08_HubTarget,1
D8_InfrastructureReturns_BackboneLinks__TP09_Bimodal,1
D8_InfrastructureReturns_BackboneLinks__TP10_Storm,1
D8_InfrastructureReturns_BackboneLinks__TP11_ManyToOne,1
D8_InfrastructureReturns_BackboneLinks__TP12_GroupToGroup,1
D9_Critical_1minTTL__TP01_Baseline,5
D9_Critical_1minTTL__TP02_LowLoad,4
D9_Critical_1minTTL__TP03_ManySmall,5
D9_Critical_1minTTL__TP04_FewLarge,4
D9_Critical_1minTTL__TP05_CriticalTTL,5
D9_Critical_1minTTL__TP06_OneToMany,5
D9_Critical_1minTTL__TP07_BurstWindow,5
D9_Critical_1minTTL__TP08_HubTarget,5
D9_Critical_1minTTL__TP09_Bimodal,5
D9_Critical_1minTTL__TP10_Storm,5
D9_Critical_1minTTL__TP11_ManyToOne,5
D9_Critical_1minTTL__TP12_GroupToGroup,5
S1_StrongCommunities_SeparateClusters__TP01_Baseline,1
S1_StrongCommunities_SeparateClusters__TP02_LowLoad,1
