scenario,family,scenario_base,tp,map_dataset,movement_models,n_hosts,delivery_ratio,overhead_ratio,drop_ratio,total_encounters,coverage_world_ratio,coverage_accessible_ratio,delivery_std_by_base,problem_flags,priority,recommended_action_hint
U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP08,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.2196,48.9718,0.0,1587.0,0.2464,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP09_Bimodal,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP09,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.1378,307.2469,34.13945578231292,1505.0,0.25239999999999996,1.0,0.12501477973229866,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP10_Storm,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP10,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0445,146.7153,7.420830629461388,1712.0,0.2452,1.0,0.12501477973229866,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP11_ManyToOne,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP11,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3649,28.3136,0.0,1587.0,0.2464,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP12,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3599,70.6989,0.7914110429447853,1587.0,0.2468,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP01_Baseline,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP01,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3638,75.5196,0.0,1994.0,0.2332,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP02_LowLoad,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP02,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3333,90.9375,0.0,1934.0,0.2416,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP03_ManySmall,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP03,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3282,68.5769,0.0,2013.0,0.23199999999999998,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP04_FewLarge,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP04,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.257,436.9783,97.82122905027931,1994.0,0.2332,1.0,0.1767511707560557,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP05,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0183,97.1111,2.756097560975609,1994.0,0.2332,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP06_OneToMany,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP06,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.5412,73.6514,0.0,1994.0,0.2332,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP07_BurstWindow,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP07,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.4781,76.6857,0.0,1840.0,0.23879999999999998,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP08_HubTarget,01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,TP08,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.2825,88.8686,0.0,1994.0,0.2332,1.0,0.1767511707560557,MAP_TOO_LARGE,P1,change_map_or_worldSize
