scenario,family,end_time,coverage_total,time_to_50pct,time_to_80pct,time_to_90pct,total_encounters,delivery_ratio,recommended_warmup,recommended_cutoff,recommended_useful_window,decision,justification
R9_ExtremeRange_200m__TP03_ManySmall,04_rural,43200,0.1844,,,,4119.0,0.9766,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP04_FewLarge,04_rural,43200,0.1844,,,,4118.0,0.5196,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP05_CriticalTTL,04_rural,43200,0.1844,,,,4118.0,0.1723,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP06_OneToMany,04_rural,43200,0.1844,,,,4117.0,0.9526,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP07_BurstWindow,04_rural,43200,0.1844,,,,4119.0,1.0,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP08_HubTarget,04_rural,43200,0.1844,,,,4117.0,0.7216,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP09_Bimodal,04_rural,43200,0.1844,,,,4118.0,0.7404,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP10_Storm,04_rural,43200,0.1844,,,,4118.0,0.6899,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP11_ManyToOne,04_rural,43200,0.1844,,,,4117.0,0.9454,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP12_GroupToGroup,04_rural,43200,0.1844,,,,4102.0,0.9632,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP01_Baseline,05_disaster,43200,0.49439999999999995,,,,,0.858,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP02_LowLoad,05_disaster,43200,0.49439999999999995,,,,,0.8333,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP03_ManySmall,05_disaster,43200,0.49439999999999995,,,,,0.8479,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP04_FewLarge,05_disaster,43200,0.49439999999999995,,,,,0.5642,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP05_CriticalTTL,05_disaster,43200,0.49439999999999995,,,,,0.0206,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP06_OneToMany,05_disaster,43200,0.5024000000000001,40800.0,,,,0.8969,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP07_BurstWindow,05_disaster,43200,0.4984,,,,,0.9093,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP08_HubTarget,05_disaster,43200,0.5024000000000001,40800.0,,,,0.7897,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP09_Bimodal,05_disaster,43200,0.49119999999999997,,,,,0.6048,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP10_Storm,05_disaster,43200,0.494,,,,,0.5767,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP11_ManyToOne,05_disaster,43200,0.5024000000000001,40800.0,,,,0.8763,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D1_ShelterHotspots_EmergencyMobility__TP12_GroupToGroup,05_disaster,43200,0.496,,,,,0.9489,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP01_Baseline,05_disaster,43200,0.2032,,,,9553.0,0.501,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP02_LowLoad,05_disaster,43200,0.1968,,,,9365.0,0.4842,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP03_ManySmall,05_disaster,43200,0.1932,,,,9345.0,0.4801,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP04_FewLarge,05_disaster,43200,0.1968,,,,9194.0,0.3791,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP05_CriticalTTL,05_disaster,43200,0.2032,,,,9553.0,0.0903,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP06_OneToMany,05_disaster,43200,0.2032,,,,9358.0,0.4918,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP07_BurstWindow,05_disaster,43200,0.2004,,,,9056.0,0.4866,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP08_HubTarget,05_disaster,43200,0.2032,,,,9358.0,0.4381,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
D2_PartitionedCity_MuleBridge__TP09_Bimodal,05_disaster,43200,0.20800000000000002,,,,9299.0,0.4175,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
