map_id,validation_status,reason,source_type,archetype
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1583,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1726,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1839,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1946,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1268,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1389,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1500,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1626,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1755,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1865,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1500m_1978,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_200m_1292,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_200m_1413,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_200m_1528,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_200m_1671,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_200m_1786,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_200m_1893,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1210,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1313,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1444,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1549,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1698,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1806,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_500m_1918,FAIL,osm_download_failed,osm,rural_roads
OSM_london_industrial_corridor_offset_w_2500m_1000m_1243,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1000m_1354,FAIL,osm_download_failed,osm,industrial_disrupted
