# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

V2_TaxiHigh_ManhattanMidtownGrid__TP08_HubTarget  (# pares con |r|>=0.7: 14)
U5_WorkdayShort_HelsinkiDowntown__TP10_Storm  (# pares con |r|>=0.7: 14)
V2_TaxiHigh_ManhattanMidtownGrid__TP05_CriticalTTL  (# pares con |r|>=0.7: 14)
U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow  (# pares con |r|>=0.7: 14)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP08_HubTarget  (# pares con |r|>=0.7: 14)
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm  (# pares con |r|>=0.7: 14)
R9_ExtremeRange_200m__TP05_CriticalTTL  (# pares con |r|>=0.7: 14)
S3_PeriodicMeetings_RegularRhythm__TP04_FewLarge  (# pares con |r|>=0.7: 14)
S1_StrongCommunities_SeparateClusters__TP11_ManyToOne  (# pares con |r|>=0.7: 14)
S2_WeakCommunities_HighMixing__TP03_ManySmall  (# pares con |r|>=0.7: 14)
S1_StrongCommunities_SeparateClusters__TP06_OneToMany  (# pares con |r|>=0.7: 14)
V2_TaxiHigh_ManhattanMidtownGrid__TP12_GroupToGroup  (# pares con |r|>=0.7: 14)
U3_MicroMobility_HelsinkiDowntown__TP02_LowLoad  (# pares con |r|>=0.7: 14)
V1_TaxiLow_ManhattanMidtownGrid__TP10_Storm  (# pares con |r|>=0.7: 14)
C6_EmergencyDrill_Evacuation__TP01_Baseline  (# pares con |r|>=0.7: 14)
C4_CampusEvent_IngressEgress__TP01_Baseline  (# pares con |r|>=0.7: 14)
C1_Campus_ClassChange__TP02_LowLoad  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP07_BurstWindow  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP04_FewLarge  (# pares con |r|>=0.7: 13)
U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow  (# pares con |r|>=0.7: 13)
