# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 540 escenarios.

C5_Library_Quiet__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 22)
R10_TinyRange_5m__TP01_Baseline  (# pares |r|>=0.7 en core23: 22)
C5_Library_Quiet__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 22)
R1_Rural_RandomWaypoint__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 21)
C2_ExamDay_LongStays__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 21)
V2_TaxiHigh_ManhattanMidtownGrid__TP01_Baseline  (# pares |r|>=0.7 en core23: 21)
D3_Aftershock_ErraticMobility__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 21)
S3_PeriodicMeetings_RegularRhythm__TP02_LowLoad  (# pares |r|>=0.7 en core23: 21)
C2_ExamDay_LongStays__TP06_OneToMany  (# pares |r|>=0.7 en core23: 21)
C2_ExamDay_LongStays__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 21)
C2_ExamDay_LongStays__TP08_HubTarget  (# pares |r|>=0.7 en core23: 21)
D4_MedicalTriage_TwoClasses__TP09_Bimodal  (# pares |r|>=0.7 en core23: 21)
R5_MountainRescue__TP03_ManySmall  (# pares |r|>=0.7 en core23: 20)
R10_TinyRange_5m__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 20)
S5_TwoLayer_StudentsStaff__TP02_LowLoad  (# pares |r|>=0.7 en core23: 20)
D6_ShortTtlCritical_5to10min__TP04_FewLarge  (# pares |r|>=0.7 en core23: 20)
D3_Aftershock_ErraticMobility__TP09_Bimodal  (# pares |r|>=0.7 en core23: 20)
C5_Library_Quiet__TP10_Storm  (# pares |r|>=0.7 en core23: 20)
R6_SparseLongRange__TP10_Storm  (# pares |r|>=0.7 en core23: 19)
V1_TaxiLow_ManhattanMidtownGrid__TP03_ManySmall  (# pares |r|>=0.7 en core23: 19)
V2_TaxiHigh_ManhattanMidtownGrid__TP03_ManySmall  (# pares |r|>=0.7 en core23: 19)
U3_MicroMobility_HelsinkiDowntown__TP03_ManySmall  (# pares |r|>=0.7 en core23: 19)
U3_MicroMobility_HelsinkiDowntown__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 19)
R4_ParkRangers_NuuksioSparseTrails__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 19)
R10_TinyRange_5m__TP02_LowLoad  (# pares |r|>=0.7 en core23: 19)
V1_TaxiLow_ManhattanMidtownGrid__TP01_Baseline  (# pares |r|>=0.7 en core23: 19)
D6_ShortTtlCritical_5to10min__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 19)
R8_IntermittentPower__TP08_HubTarget  (# pares |r|>=0.7 en core23: 19)
V1_TaxiLow_ManhattanMidtownGrid__TP06_OneToMany  (# pares |r|>=0.7 en core23: 19)
R6_SparseLongRange__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 19)
V1_TaxiLow_ManhattanMidtownGrid__TP08_HubTarget  (# pares |r|>=0.7 en core23: 19)
R6_SparseLongRange__TP03_ManySmall  (# pares |r|>=0.7 en core23: 19)
S3_PeriodicMeetings_RegularRhythm__TP04_FewLarge  (# pares |r|>=0.7 en core23: 19)
R9_ExtremeRange_200m__TP10_Storm  (# pares |r|>=0.7 en core23: 19)
V1_TaxiLow_ManhattanMidtownGrid__TP10_Storm  (# pares |r|>=0.7 en core23: 19)
R8_IntermittentPower__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 19)
R8_IntermittentPower__TP06_OneToMany  (# pares |r|>=0.7 en core23: 19)
R2_VillagesTrails_ThreeClusters__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 19)
R2_VillagesTrails_ThreeClusters__TP08_HubTarget  (# pares |r|>=0.7 en core23: 19)
R8_IntermittentPower__TP02_LowLoad  (# pares |r|>=0.7 en core23: 19)
R6_SparseLongRange__TP01_Baseline  (# pares |r|>=0.7 en core23: 19)
R2_VillagesTrails_ThreeClusters__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 19)
V1_TaxiLow_ManhattanMidtownGrid__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 19)
R5_MountainRescue__TP04_FewLarge  (# pares |r|>=0.7 en core23: 19)
R2_VillagesTrails_ThreeClusters__TP06_OneToMany  (# pares |r|>=0.7 en core23: 19)
R5_MountainRescue__TP02_LowLoad  (# pares |r|>=0.7 en core23: 19)
R10_TinyRange_5m__TP10_Storm  (# pares |r|>=0.7 en core23: 19)
R8_IntermittentPower__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 19)
R5_MountainRescue__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 18)
V2_TaxiHigh_ManhattanMidtownGrid__TP06_OneToMany  (# pares |r|>=0.7 en core23: 18)
U3_MicroMobility_HelsinkiDowntown__TP10_Storm  (# pares |r|>=0.7 en core23: 18)
R8_IntermittentPower__TP04_FewLarge  (# pares |r|>=0.7 en core23: 18)
S5_TwoLayer_StudentsStaff__TP04_FewLarge  (# pares |r|>=0.7 en core23: 18)
V2_TaxiHigh_ManhattanMidtownGrid__TP08_HubTarget  (# pares |r|>=0.7 en core23: 18)
R4_ParkRangers_NuuksioSparseTrails__TP06_OneToMany  (# pares |r|>=0.7 en core23: 18)
V2_TaxiHigh_ManhattanMidtownGrid__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 18)
V2_TaxiHigh_ManhattanMidtownGrid__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 18)
R8_IntermittentPower__TP10_Storm  (# pares |r|>=0.7 en core23: 18)
V1_TaxiLow_ManhattanMidtownGrid__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 18)
V1_TaxiLow_ManhattanMidtownGrid__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 18)
D6_ShortTtlCritical_5to10min__TP09_Bimodal  (# pares |r|>=0.7 en core23: 18)
R4_ParkRangers_NuuksioSparseTrails__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 18)
R1_Rural_RandomWaypoint__TP10_Storm  (# pares |r|>=0.7 en core23: 17)
R3_WildlifeTracking__TP10_Storm  (# pares |r|>=0.7 en core23: 17)
C3_Hackathon_24h__TP09_Bimodal  (# pares |r|>=0.7 en core23: 17)
R5_MountainRescue__TP01_Baseline  (# pares |r|>=0.7 en core23: 17)
R8_IntermittentPower__TP03_ManySmall  (# pares |r|>=0.7 en core23: 17)
C6_EmergencyDrill_Evacuation__TP02_LowLoad  (# pares |r|>=0.7 en core23: 17)
R6_SparseLongRange__TP06_OneToMany  (# pares |r|>=0.7 en core23: 17)
S2_WeakCommunities_HighMixing__TP02_LowLoad  (# pares |r|>=0.7 en core23: 17)
R5_MountainRescue__TP10_Storm  (# pares |r|>=0.7 en core23: 17)
D7_HighLoad_TrafficStorm__TP02_LowLoad  (# pares |r|>=0.7 en core23: 17)
C4_Stadium_IngressEgress__TP02_LowLoad  (# pares |r|>=0.7 en core23: 17)
R1_Rural_RandomWaypoint__TP02_LowLoad  (# pares |r|>=0.7 en core23: 17)
R8_IntermittentPower__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 17)
R11_SpeedExtremeLow__TP02_LowLoad  (# pares |r|>=0.7 en core23: 17)
R6_SparseLongRange__TP08_HubTarget  (# pares |r|>=0.7 en core23: 17)
R6_SparseLongRange__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 17)
S3_PeriodicMeetings_RegularRhythm__TP09_Bimodal  (# pares |r|>=0.7 en core23: 17)
C1_Campus_ClassChange__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 17)
C2_ExamDay_LongStays__TP10_Storm  (# pares |r|>=0.7 en core23: 17)
S3_PeriodicMeetings_RegularRhythm__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 17)
V2_TaxiHigh_ManhattanMidtownGrid__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 17)
C3_Hackathon_24h__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 17)
R9_ExtremeRange_200m__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 17)
C4_Stadium_IngressEgress__TP04_FewLarge  (# pares |r|>=0.7 en core23: 16)
R6_SparseLongRange__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 16)
R4_ParkRangers_NuuksioSparseTrails__TP10_Storm  (# pares |r|>=0.7 en core23: 16)
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 16)
S4_RandomMixing_NoHotspots__TP06_OneToMany  (# pares |r|>=0.7 en core23: 16)
S4_RandomMixing_NoHotspots__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 16)
C1_Campus_ClassChange__TP09_Bimodal  (# pares |r|>=0.7 en core23: 16)
R8_IntermittentPower__TP01_Baseline  (# pares |r|>=0.7 en core23: 16)
U3_MicroMobility_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 16)
V2_TaxiHigh_ManhattanMidtownGrid__TP10_Storm  (# pares |r|>=0.7 en core23: 16)
R10_TinyRange_5m__TP04_FewLarge  (# pares |r|>=0.7 en core23: 16)
S2_WeakCommunities_HighMixing__TP04_FewLarge  (# pares |r|>=0.7 en core23: 16)
R11_SpeedExtremeLow__TP04_FewLarge  (# pares |r|>=0.7 en core23: 16)
R11_SpeedExtremeLow__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 15)
D7_HighLoad_TrafficStorm__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 15)
R4_ParkRangers_NuuksioSparseTrails__TP01_Baseline  (# pares |r|>=0.7 en core23: 15)
R4_ParkRangers_NuuksioSparseTrails__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 15)
C2_ExamDay_LongStays__TP02_LowLoad  (# pares |r|>=0.7 en core23: 15)
C6_EmergencyDrill_Evacuation__TP04_FewLarge  (# pares |r|>=0.7 en core23: 15)
R7_SparseTinyBuffer__TP08_HubTarget  (# pares |r|>=0.7 en core23: 15)
D7_HighLoad_TrafficStorm__TP06_OneToMany  (# pares |r|>=0.7 en core23: 15)
